,parliament,edate,year,province,riding,id,candidate_name,birth_year,gender,censuscategory,party_major_group,votes,percent_votes,elected,age,oldest_mp_age,margin
27960,35,1993-10-25,1993,British Columbia,MISSION--COQUITLAM,26740,"RICHARDSON, E. Chum",,M,,Independent,135,0.2457405,Not elected,,69,-36.4660705
27961,35,1993-10-25,1993,Quebec,SAINT-LÉONARD,5363,"DESCHÊNES, Sylvain",,M,,Third_Party,77,0.16351667,Not elected,,69,-60.99384333
27962,35,1993-10-25,1993,British Columbia,BURNABY--KINGSWAY,27025,"ROBINSON, Svend J.",1952,M,MP,CCF_NDP,18273,34.14748,Elected,41,69,7.880474000000003
27963,35,1993-10-25,1993,Manitoba,ST. BONIFACE,26904,"ROBERT, Ginette",,F,Health,Third_Party,251,0.52934599,Not elected,,69,-62.82767901
27964,35,1993-10-25,1993,Ontario,DON VALLEY WEST,31168,"WILSON, Stephen",,M,,Third_Party,25,0.048093572,Not elected,,69,-49.726827428
27965,35,1993-10-25,1993,Ontario,VICTORIA--HALIBURTON,5473,"DEVOLIN, Barry",,M,Business,Reform_Alliance,15906,28.489038,Not elected,,69,-8.247957999999997
27966,35,1993-10-25,1993,Ontario,WATERLOO,25760,"PIATKOWSKI, Scott",,M,Business,CCF_NDP,2822,4.5273695,Not elected,,69,-37.6163115
27967,35,1993-10-25,1993,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,29703,"TOBIN, Brian",1954,M,Culture,Liberal,26879,82.206322,Elected,39,69,66.425058
27968,35,1993-10-25,1993,Quebec,RICHMOND--WOLFE,25543,"PELOQUIN, Marc-André",,M,,CCF_NDP,479,1.1256551,Not elected,,69,-51.126827899999995
27969,35,1993-10-25,1993,British Columbia,COMOX--ALBERNI,20549,"LAPEYROUSE, Kathleen",,F,Social,Third_Party,299,0.94611269,Not elected,,69,-35.55042331
27970,35,1993-10-25,1993,Quebec,MATAPÉDIA--MATANE,7649,"GAUTHIER, Maurice",,M,Management,Liberal,10410,32.554649,Not elected,,69,-24.770928000000005
27971,35,1993-10-25,1993,Quebec,LAVAL CENTRE,7063,"FORTIN, Guymond",,M,Science,Liberal,19031,33.385963,Not elected,,69,-21.807621000000005
27972,35,1993-10-25,1993,Ontario,SAULT STE. MARIE,6493,"EVANS, Chris",,M,Social,Third_Party,155,0.38310388,Not elected,,69,-52.576681119999996
27973,35,1993-10-25,1993,Ontario,BROADVIEW--GREENWOOD,27326,"ROWLEY, Elizabeth",,F,Business,Independent,148,0.38366818,Not elected,,69,-60.68697282
27974,35,1993-10-25,1993,Ontario,OTTAWA WEST,31121,"WILSON, Bryce",,M,Social,Independent,1082,2.4121633,Not elected,,69,-60.95059869999999
27975,35,1993-10-25,1993,Ontario,ETOBICOKE--LAKESHORE,2314,"BOYER, Patrick",,M,Social,Conservative,14306,30.957996,Not elected,,69,-11.148860999999997
27976,35,1993-10-25,1993,British Columbia,FRASER VALLEY WEST,6546,"FAIRALL, Lynn",,F,Social,CCF_NDP,3237,5.1822677,Not elected,,69,-43.9139963
27977,35,1993-10-25,1993,Manitoba,WINNIPEG NORTH CENTRE,28452,"SMITH, Reg",,M,Business,Reform_Alliance,2275,8.2076626,Not elected,,69,-41.958295400000004
27978,35,1993-10-25,1993,British Columbia,OKANAGAN--SIMILKAMEEN--MERRITT,33677,"IRVINE, Sue",,F,Business,Conservative,6150,12.674663,Not elected,,69,-30.915875
27979,35,1993-10-25,1993,Ontario,MISSISSAUGA EAST,4790,"CURRAN, Michael Patrick",,M,Sales,Independent,393,0.77997857,Not elected,,69,-63.06116643
